Unique Id,Company Name,City,State,Type,Status,Abbreviation
TTS,"TREMBLAY TOOL STEELS, LLC",Macedonia,Ohio,vendor,Active,
TRENT,TRENTON FORGING,Trenton,Michigan,Client Vendor,Active,Trenton
TRI-CPG,TRI COUNTY PRECISION GRINDING,Warren,Michigan,vendor,Active,
TRI1,"Tri County Precision Grinding, Inc.","Warren,",Michigan,vendor,Active,
TCE,TRI-CITY EXTRUSION,Bristol,Tennessee,Client Vendor,Active,
TRI-STG,TRI-STATE TOOL GRINDING,Cincinnati,Ohio,vendor,Active,
TRINCO,TRINCO TRINITY TOOL COMPANY,Fraser,Michigan,vendor,Active,
TF&M,TRINITY FORGE & MACHINE,Mansfield,Texas,Client Vendor,Active,Trinity
UBI1,Ubiquiti,New York,New York,vendor,Active,
UDD USA,UDDEHOLM USA,Elgin,Illinois,vendor,Active,
ULIINE,ULINE,Waukegan,Illinois,vendor,Active,
UDF,"UNIT DROP FORGE CO., INC.",West Allis,Wisconsin,Client Vendor,Active,Unit Drop Forge
UPS,UNITED PARCEL SERVICE,Sandy Springs,Georgia,vendor,Active,
USCC,US CARGO CONTROL,Urbana,Iowa,vendor,Active,
USPC,US PLASTIC CORPORATION,Lima,Ohio,vendor,Active,
USA,USA CLEAN,Decatur,Illinois,vendor,Active,
V-BELT,V-BELT GUYS,Sioux Falls,South Dakota,vendor,Active,
VAL FOR,Valley Forge & Bolt Mfg.,Phoenix,Arizona,vendor,Active,
Valor,VALOR OIL,Richmond,Kentucky,vendor,Active,
VEKTEK,VEKTEK,Emporia,Kansas,vendor,Active,
VEND,VENDNOVATION,Redmond,Washington,vendor,Active,
Vendor1,Vendor Template,,,Vendor,Active,
VEVOR,VEVOR,,Washington,vendor,Active,
WALKAUT,WALKER AUTOMATION LLC,London,Kentucky,vendor,Active,
WALMART,WALMART,,Washington,vendor,Active,
WELDMOLD,WELD MOLD COMPANY,Brighton,Michigan,vendor,Active,
WELDQUIP,WELDQUIP,Danville,Kentucky,vendor,Active,
WELLSAW,"WELLSAW, INC.",Kalamazoo,Michigan,vendor,Active,
WIHA,WIHA TOOLS,Monticello,Montana,vendor,Active,
WINSTON HT,WINSTON HEAT TREATING,Dayton,Ohio,vendor,Active,
X,X,,Washington,Client Vendor,Active,
XPO,XPO LOGISTICS,Lexington,Kentucky,vendor,Active,
ZOLLER,ZOLLER INC.,Ann Arbor,Michigan,vendor,Active,
ZORO,ZORO,,,vendor,Active,
TOTALS,,,,,,
